Filename,position,segment,syllable,F1 (Hz),F2 (Hz),F3 (Hz),performer
41,off,iː,1,761.1962486,1306.700377,2579.176727,LK
41,off,iː,1,564.598477,1352.714089,2261.283388,LK
41,off,ai,1,715.0051101,1287.350189,2510.392096,LK
41,off,ɵ,1,565.4332075,1512.653118,2689.170597,LK
41,off,ɵ,1,703.015945,1576.680071,3076.343592,LK
41,off,ai,1,814.5385726,1087.780883,1992.770092,LK
41,off,oː,1,805.9274773,1337.568765,2647.203722,LK
41,off,oː,1,653.1356687,1289.880202,1823.603534,LK
41,off,ai,1,530.2075074,1459.736432,2834.51262,LK
41,off,y,1,561.6980092,1323.063221,2111.655002,LK
41,off,a,1,835.561181,1450.538082,2480.366242,LK
41,off,y,1,576.6401436,1636.934967,1842.531273,LK
41,off,ai,1,555.5953233,1574.16507,2489.074533,LK
41,off,a,1,1123.879292,1507.857243,2183.593259,LK
41,off,a,1,803.7268155,1507.781053,2308.139326,LK
41,off,ai,1,717.3985655,1409.459087,2496.152225,LK
69,off,øː,1,448.5597968,2125.073374,2774.385303,LO
69,off,o,1,872.6295889,1702.598566,2765.749235,LO
69,off,u,1,478.9031412,1476.140888,2919.552218,LO
77,off,o,1,505.2745759,1113.012371,1619.190706,LO
77,off,ʎ,1,501.0613309,1756.360564,1880.191746,LO
77,off,o,1,679.7162963,1280.417605,2089.52004,LO
77,off,ʎ,1,369.9291318,1628.843513,2381.368883,LO
77,off,o,1,391.7377382,1328.812564,2137.735357,LO
77,off,ʎ,1,385.8103275,1667.35288,2238.483229,LO
77,off,eː,1,594.8394184,843.2749306,2220.971181,LO
77,off,ɵ,1,508.9732796,1135.930405,2276.033942,LO
77,off,u,1,494.7066698,1340.555539,1987.06686,LO
77,off,o,1,495.3656025,1361.139967,1828.001217,LO
77,off,a,1,898.6108412,1324.965856,1668.840639,LO
77,off,eː,1,431.7399996,893.3204654,2220.807007,LO
77,off,a,1,559.8556117,1425.149265,1944.173402,LO
77,off,a,1,859.3309943,1040.794498,2307.330826,LO
77,off,e,1,790.6567578,1784.478938,2830.189235,LO
92,off,eeː,1,614.9338272,1663.519598,2691.527935,LK
92,off,ul,1,289.3354841,1549.144996,2476.236515,LK
92,off,ɵi,1,410.2408672,1448.064071,2696.588393,LK
92,off,iiː,1,436.3366743,1565.092265,2495.733456,LK
92,off,uiː,1,662.9855293,1804.744019,2365.793928,LK
94,off,a,1,929.9830718,1516.750843,1636.685289,LK
94,off,eil,1,582.1524164,1583.719346,2340.827828,LK
94,off,e,1,709.497797,1470.412746,2435.117056,LK
94,off,iː,1,509.5762488,1624.167602,2593.928015,LK
94,off,æi,1,752.6290409,1516.715031,2280.271288,LK
94,off,æ,1,904.6102114,1382.740103,2235.157005,LK
94,off,ɵii,1,622.9030485,1530.38761,2592.673407,LK
94,off,a,1,889.0269372,1427.838561,1909.68335,LK
94,off,ɵ,1,666.1355814,1500.523632,2819.817268,LK
94,off,ul,1,598.7293776,1596.301542,2473.56476,LK
94,off,a,1,693.6288927,1623.766236,2001.154217,LK
94,off,a,1,598.6504184,1350.624576,2563.063035,LK
94,off,e,1,731.0298689,1376.570254,2353.186559,LK
94,off,a,1,598.1549804,1512.89143,2449.15445,LK
94,off,i,1,510.7939864,2037.645949,2473.816661,LK
94,off,iː,1,471.3847341,2860.370389,2942.384229,LK
94,off,ae,1,720.5089758,1654.121701,1853.683207,LK
9,off,e,2,749.5626948,1691.462051,2317.290629,MH
9,off,ɑ,2,1075.393104,1478.569462,2899.291892,MH
9,off,eiː,2,724.1736193,2136.595033,2495.797762,MH
9,off,ja,2,1006.921411,1398.842046,2459.915157,MH
9,off,a,2,955.8767445,1423.86217,2685.512635,MH
9,off,a,2,1077.459899,1506.741937,2515.778614,MH
9,off,a,2,903.7740192,1465.380744,2440.653675,MH
9,off,u,2,685.1876801,1052.142992,2744.058317,MH
9,off,a,2,1015.943037,1502.895151,2813.819471,MH
9,off,u,2,707.6300038,1321.090956,2644.876871,MH
9,off,e,2,715.0614869,2059.980018,2505.796431,MH
9,off,a,2,1044.71165,1413.109076,2888.137739,MH
9,off,æ,2,989.628485,1724.387638,3142.992822,MH
9,off,æ,2,980.6677812,1699.817778,2855.65548,MH
9,off,a,2,864.9160635,1394.447613,2239.51979,MH
9,off,ɑ,2,782.3806524,1479.699822,2267.485023,MH
9,off,ɪ,2,600.5596587,1882.37744,2589.414425,MH
9,off,a,2,972.0079473,1528.858661,2637.109044,MH
9,off,ʊ,2,692.5728734,1059.605161,2449.602861,MH
9,off,ɛ,2,739.4279682,2023.056136,2210.664376,MH
9,off,u,2,706.1052231,1022.412128,2421.528614,MH
9,off,ɛ,2,782.4577656,1456.519003,2209.609376,MH
9,off,ʊ,2,514.1085248,850.5503683,2139.215209,MH
9,off,a,2,1047.152756,1224.581451,2161.222232,MH
9,off,al,2,923.2178464,1438.169717,2627.787419,MH
9,off,a,2,983.1746426,1260.298105,2507.637282,MH
18,off,i,2,467.9138121,2049.75291,2501.82154,MH
18,off,i,2,547.9326989,2067.535898,2496.790065,MH
18,off,e,2,664.2398286,2247.283148,2737.321814,MH
18,off,i,2,537.105583,1493.625251,2502.414582,MH
18,off,i,2,639.6722038,2031.431361,2601.077494,MH
18,off,il,2,421.1685758,2228.229148,2649.88379,MH
18,off,e,2,735.2610486,2148.058326,2212.595228,MH
18,off,e,2,832.2545165,1487.532042,2221.435193,MH
18,off,il,2,365.063961,2192.467378,2705.572682,MH
18,off,a,2,1156.042397,1404.958,3106.441987,MH
18,off,ʊ,2,720.3659439,1127.592107,2582.625281,MH
18,off,i,2,478.5434783,2249.309419,2853.044614,MH
18,off,u,2,635.3604554,1108.715772,2527.389187,MH
18,off,e,2,697.128332,1978.154701,2578.233003,MH
18,off,a,2,951.1764193,1444.213658,2807.805334,MH
18,off,e,2,893.3089003,2162.926647,2307.097728,MH
18,off,a,2,1125.949513,1572.785924,3036.747065,MH
18,off,e,2,962.0259699,1940.755339,2718.4814,MH
18,off,a,2,1061.115133,1504.443613,3056.984665,MH
18,off,ɪ,2,335.4046765,2232.271343,2576.209514,MH
18,off,oː,2,730.5284158,1135.817422,2453.484224,MH
18,off,a,2,997.5723151,1415.822055,2635.939003,MH
18,off,ɪ,2,344.5195886,2143.148637,2511.691888,MH
18,off,e,2,799.6699819,2106.799939,2428.059061,MH
18,off,a,2,1049.812808,1494.711479,2730.266391,MH
18,off,ʊ,2,401.6776588,848.2176113,2142.114415,MH
18,off,ɑj,2,791.086049,1752.51943,2386.416546,MH
18,off,a,2,998.5522242,1773.473045,2327.008308,MH
18,off,ɛ,2,727.4234276,2140.571773,2610.686434,MH
18,off,ɪ,2,342.8461291,2453.74352,2522.455047,MH
18,off,u,2,645.0956521,1124.615526,2550.701951,MH
18,off,a,2,1000.798614,1371.86439,2827.27149,MH
18,off,ʊ,2,603.0849424,1037.822622,2413.92178,MH
18,off,u,2,553.4248508,842.5336196,2214.54407,MH
18,off,i,2,620.6169419,2094.720396,2555.187064,MH
18,off,æ,2,1137.161736,1478.998946,2106.987459,MH
18,off,a,2,952.186532,1487.91292,2675.081503,MH
18,off,el,2,795.4205035,2169.721502,2265.222834,MH
18,off,a,2,1133.462817,1613.851599,3101.798795,MH
18,off,ɑ,2,1169.294885,1370.995905,2903.527574,MH
18,off,a,2,1067.87276,1752.739098,3162.657224,MH
18,off,i,2,475.3841712,2301.421784,2535.293312,MH
18,off,ɛ,2,694.9206845,2035.98805,2469.067193,MH
18,off,u,2,672.8797505,1046.508081,2447.458891,MH
18,off,ɑ,2,1133.197191,1567.065793,2800.904717,MH
18,off,a,2,836.1879876,1599.279606,2687.757906,MH
18,off,ɑ,2,1057.590279,1871.464089,3067.743781,MH
18,off,ʊ,2,365.4065266,1011.382222,2711.510814,MH
18,off,ɪ,2,367.8841957,1714.729281,2690.576761,MH
18,off,ɑ,2,1028.427248,1372.009619,2482.138355,MH
18,off,u,2,516.9249892,1178.768828,2677.780634,MH
18,off,e,2,775.5307594,2270.882271,2650.908229,MH
18,off,a,2,1084.306662,1855.74677,2966.133564,MH
18,off,a,2,952.7024351,1618.639497,2695.778356,MH
18,off,u,2,535.9064611,1154.863036,2415.12043,MH
18,off,u,2,512.9983807,1211.103091,2505.800173,MH
18,off,a,2,1145.045794,1472.03314,2992.425283,MH
18,off,u,2,592.4093159,859.2629508,2376.172396,MH
18,off,u,2,648.1011601,1043.343254,2532.614232,MH
18,off,a,2,1027.219109,1369.913638,2929.483603,MH
18,off,ɛ,2,732.3475299,1627.239952,2173.920804,MH
18,off,u,2,677.1703196,1061.20759,2327.639391,MH
18,off,u,2,458.6438763,1097.871497,2740.577661,MH
18,off,a,2,1081.000725,1493.207172,2772.625637,MH
18,off,u,2,673.2384707,1090.713952,2487.148087,MH
18,off,a,2,1068.264757,1785.152698,3106.416501,MH
18,off,a,2,1042.14978,1568.441203,3023.519988,MH
18,off,ɛ,2,713.1082455,1907.243675,2371.61661,MH
18,off,u,2,590.0700397,1153.215203,2326.31989,MH
18,off,a,2,1062.343976,1674.205887,2972.785565,MH
18,off,a,2,819.1958491,1248.502528,2675.748145,MH
18,off,a,2,1163.215795,1610.092674,3270.998698,MH
18,off,u,2,491.3996776,1113.063928,2435.73357,MH
18,off,a,2,998.2529383,1362.657971,2593.269458,MH
18,off,a,2,895.4431592,1247.775087,2569.956716,MH
