Ui,"[[{'syllable': 'ui', 'quantity': 3, 'accent': 1}]]"
sui,"[[{'syllable': 'sui', 'quantity': 3, 'accent': 1}]]"
sun,"[[{'syllable': 'sun', 'quantity': 3, 'accent': 1}]]"
niman,"[[{'syllable': 'ni', 'quantity': 1, 'accent': 1}, {'syllable': 'man', 'quantity': 2, 'accent': 0}]]"
ni,"[[{'syllable': 'ni', 'quantity': 3, 'accent': 1}]]"
nist,"[[{'syllable': 'nist', 'quantity': 3, 'accent': 1}]]"
sain,"[[{'syllable': 'sain', 'quantity': 3, 'accent': 1}]]"
mal,"[[{'syllable': 'mal', 'quantity': 3, 'accent': 1}]]"
lika,"[[{'syllable': 'li', 'quantity': 2, 'accent': 1}, {'syllable': 'ka', 'quantity': 1, 'accent': 0}]]"
likast,"[[{'syllable': 'li', 'quantity': 2, 'accent': 1}, {'syllable': 'kast', 'quantity': 2, 'accent': 0}]]"
man,"[[{'syllable': 'man', 'quantity': 3, 'accent': 1}]]"
nipil,"[[{'syllable': 'ni', 'quantity': 2, 'accent': 1}, {'syllable': 'pil', 'quantity': 2, 'accent': 0}]]"
li,"[[{'syllable': 'li', 'quantity': 3, 'accent': 1}]]"
list,"[[{'syllable': 'list', 'quantity': 3, 'accent': 1}]]"
peebuna,"[[{'syllable': 'pee', 'quantity': 2, 'accent': 1}, {'syllable': 'bu', 'quantity': 1, 'accent': 0}, {'syllable': 'na', 'quantity': 1, 'accent': 0}]]"
peebunast,"[[{'syllable': 'pee', 'quantity': 2, 'accent': 1}, {'syllable': 'bu', 'quantity': 1, 'accent': 0}, {'syllable': 'nast', 'quantity': 3, 'accent': 1}]]"
petsariini,"[[{'syllable': 'pet', 'quantity': 2, 'accent': 0}, {'syllable': 'sa', 'quantity': 1, 'accent': 0}, {'syllable': 'rii', 'quantity': 2, 'accent': 1}, {'syllable': 'ni', 'quantity': 1, 'accent': 0}]]"
petsariinist,"[[{'syllable': 'pet', 'quantity': 2, 'accent': 0}, {'syllable': 'sa', 'quantity': 1, 'accent': 0}, {'syllable': 'rii', 'quantity': 2, 'accent': 1}, {'syllable': 'nist', 'quantity': 2, 'accent': 0}]]"
