Laske,"[[{'syllable': 'las', 'quantity': 2, 'accent': 1}, {'syllable': 'ke', 'quantity': 1, 'accent': 0}]]"
sissi,"[[{'syllable': 'sis', 'quantity': 2, 'accent': 1}, {'syllable': 'si', 'quantity': 1, 'accent': 0}]]"
kadrisandi,"[[{'syllable': 'kad', 'quantity': 2, 'accent': 1}, {'syllable': 'ri', 'quantity': 1, 'accent': 0}, {'syllable': 'san', 'quantity': 2, 'accent': 1}, {'syllable': 'di', 'quantity': 1, 'accent': 0}]]"
katrisanti,"[[{'syllable': 'kat', 'quantity': 2, 'accent': 1}, {'syllable': 'ri', 'quantity': 1, 'accent': 0}, {'syllable': 'san', 'quantity': 2, 'accent': 0}, {'syllable': 'ti', 'quantity': 1, 'accent': 0}]]"
kadril,"[[{'syllable': 'kad', 'quantity': 2, 'accent': 1}, {'syllable': 'ril', 'quantity': 2, 'accent': 0}]]"
küüdse,"[[{'syllable': 'küüd', 'quantity': 2, 'accent': 1}, {'syllable': 'se', 'quantity': 1, 'accent': 0}]]"
külmeteve,"[[{'syllable': 'kül', 'quantity': 2, 'accent': 1}, {'syllable': 'me', 'quantity': 2, 'accent': 0}, {'syllable': 'te', 'quantity': 1, 'accent': 0}, {'syllable': 've', 'quantity': 1, 'accent': 0}]]"
varba,"[[{'syllable': 'var', 'quantity': 2, 'accent': 1}, {'syllable': 'ba', 'quantity': 1, 'accent': 0}]]"
valutave,"[[{'syllable': 'va', 'quantity': 1, 'accent': 1}, {'syllable': 'lu', 'quantity': 2, 'accent': 0}, {'syllable': 'ta', 'quantity': 1, 'accent': 0}, {'syllable': 've', 'quantity': 1, 'accent': 0}]]"
Kadri,"[[{'syllable': 'kad', 'quantity': 2, 'accent': 1}, {'syllable': 'ri', 'quantity': 1, 'accent': 0}]]"
om,"[[{'syllable': 'om', 'quantity': 3, 'accent': 1}]]"
tullu,"[[{'syllable': 'tul', 'quantity': 2, 'accent': 1}, {'syllable': 'lu', 'quantity': 1, 'accent': 0}]]"
kauge,"[[{'syllable': 'kau', 'quantity': 2, 'accent': 1}, {'syllable': 'ge', 'quantity': 1, 'accent': 0}]]"
elta,"[[{'syllable': 'el', 'quantity': 2, 'accent': 1}, {'syllable': 'ta', 'quantity': 1, 'accent': 0}]]"
ümmert,"[[{'syllable': 'üm', 'quantity': 2, 'accent': 1}, {'syllable': 'mert', 'quantity': 2, 'accent': 0}]]"
ilma,"[[{'syllable': 'il', 'quantity': 2, 'accent': 1}, {'syllable': 'ma', 'quantity': 1, 'accent': 0}]]"
otsa,"[[{'syllable': 'ot', 'quantity': 2, 'accent': 1}, {'syllable': 'sa', 'quantity': 1, 'accent': 0}]]"
läbi,"[[{'syllable': 'lä', 'quantity': 1, 'accent': 1}, {'syllable': 'bi', 'quantity': 1, 'accent': 0}]]"
soo,"[[{'syllable': 'soo', 'quantity': 3, 'accent': 1}]]"
sipa,"[[{'syllable': 'si', 'quantity': 2, 'accent': 1}, {'syllable': 'pa', 'quantity': 1, 'accent': 0}]]"
sopa,"[[{'syllable': 'so', 'quantity': 2, 'accent': 1}, {'syllable': 'pa', 'quantity': 1, 'accent': 0}]]"
laane,"[[{'syllable': 'laa', 'quantity': 2, 'accent': 1}, {'syllable': 'ne', 'quantity': 1, 'accent': 0}]]"
lipa,"[[{'syllable': 'li', 'quantity': 2, 'accent': 1}, {'syllable': 'pa', 'quantity': 1, 'accent': 0}]]"
lapa,"[[{'syllable': 'la', 'quantity': 2, 'accent': 1}, {'syllable': 'pa', 'quantity': 1, 'accent': 0}]]"
