Uidaruu,"[[{'syllable': 'ui', 'quantity': 2, 'accent': 1}, {'syllable': 'da', 'quantity': 1, 'accent': 0}, {'syllable': 'ruu', 'quantity': 3, 'accent': 1}]]"
raidaraa,"[[{'syllable': 'rai', 'quantity': 2, 'accent': 1}, {'syllable': 'da', 'quantity': 1, 'accent': 0}, {'syllable': 'raa', 'quantity': 3, 'accent': 1}]]"
uidaruu,"[[{'syllable': 'ui', 'quantity': 2, 'accent': 1}, {'syllable': 'da', 'quantity': 1, 'accent': 0}, {'syllable': 'ruu', 'quantity': 3, 'accent': 1}]]"
pandi,"[[{'syllable': 'pan', 'quantity': 2, 'accent': 1}, {'syllable': 'di', 'quantity': 1, 'accent': 0}]]"
mind,"[[{'syllable': 'mind', 'quantity': 3, 'accent': 1}]]"
paju,"[[{'syllable': 'pa', 'quantity': 1, 'accent': 1}, {'syllable': 'ju', 'quantity': 1, 'accent': 0}]]"
raiumaie,"[[{'syllable': 'rai', 'quantity': 2, 'accent': 1}, {'syllable': 'u', 'quantity': 1, 'accent': 0}, {'syllable': 'mai', 'quantity': 2, 'accent': 1}, {'syllable': 'e', 'quantity': 1, 'accent': 0}]]"
saare,"[[{'syllable': 'saa', 'quantity': 2, 'accent': 1}, {'syllable': 're', 'quantity': 1, 'accent': 0}]]"
juuri,"[[{'syllable': 'juu', 'quantity': 2, 'accent': 1}, {'syllable': 'ri', 'quantity': 1, 'accent': 0}]]"
juksimaie,"[[{'syllable': 'juk', 'quantity': 2, 'accent': 0}, {'syllable': 'si', 'quantity': 1, 'accent': 0}, {'syllable': 'mai', 'quantity': 2, 'accent': 1}, {'syllable': 'e', 'quantity': 1, 'accent': 0}]]"
tamme,"[[{'syllable': 'tam', 'quantity': 2, 'accent': 1}, {'syllable': 'me', 'quantity': 1, 'accent': 0}]]"
tüve,"[[{'syllable': 'tü', 'quantity': 1, 'accent': 1}, {'syllable': 've', 'quantity': 1, 'accent': 0}]]"
tampimaie,"[[{'syllable': 'tam', 'quantity': 2, 'accent': 0}, {'syllable': 'pi', 'quantity': 1, 'accent': 0}, {'syllable': 'mai', 'quantity': 2, 'accent': 1}, {'syllable': 'e', 'quantity': 1, 'accent': 0}]]"
Leidsine,"[[{'syllable': 'leid', 'quantity': 2, 'accent': 1}, {'syllable': 'si', 'quantity': 1, 'accent': 0}, {'syllable': 'ne', 'quantity': 1, 'accent': 0}]]"
ma,"[[{'syllable': 'ma', 'quantity': 3, 'accent': 1}]]"
siis,"[[{'syllable': 'siis', 'quantity': 3, 'accent': 1}]]"
kogemata,"[[{'syllable': 'ko', 'quantity': 1, 'accent': 1}, {'syllable': 'ge', 'quantity': 1, 'accent': 0}, {'syllable': 'ma', 'quantity': 2, 'accent': 0}, {'syllable': 'ta', 'quantity': 1, 'accent': 0}]]"
kus,"[[{'syllable': 'kus', 'quantity': 3, 'accent': 1}]]"
aga,"[[{'syllable': 'a', 'quantity': 1, 'accent': 1}, {'syllable': 'ga', 'quantity': 1, 'accent': 0}]]"
salk,"[[{'syllable': 'salk', 'quantity': 3, 'accent': 1}]]"
oli,"[[{'syllable': 'o', 'quantity': 1, 'accent': 1}, {'syllable': 'li', 'quantity': 1, 'accent': 0}]]"
sarapuida,"[[{'syllable': 'sa', 'quantity': 1, 'accent': 0}, {'syllable': 'ra', 'quantity': 2, 'accent': 0}, {'syllable': 'pui', 'quantity': 2, 'accent': 1}, {'syllable': 'da', 'quantity': 1, 'accent': 0}]]"
teine,"[[{'syllable': 'tei', 'quantity': 2, 'accent': 1}, {'syllable': 'ne', 'quantity': 1, 'accent': 0}]]"
türnapuida,"[[{'syllable': 'tür', 'quantity': 2, 'accent': 0}, {'syllable': 'na', 'quantity': 2, 'accent': 0}, {'syllable': 'pui', 'quantity': 2, 'accent': 1}, {'syllable': 'da', 'quantity': 1, 'accent': 0}]]"
kolmas,"[[{'syllable': 'kol', 'quantity': 2, 'accent': 1}, {'syllable': 'mas', 'quantity': 2, 'accent': 0}]]"
kohlapuida,"[[{'syllable': 'koh', 'quantity': 2, 'accent': 0}, {'syllable': 'la', 'quantity': 2, 'accent': 0}, {'syllable': 'pui', 'quantity': 2, 'accent': 1}, {'syllable': 'da', 'quantity': 1, 'accent': 0}]]"
neljas,"[[{'syllable': 'nel', 'quantity': 2, 'accent': 1}, {'syllable': 'jas', 'quantity': 2, 'accent': 0}]]"
noori,"[[{'syllable': 'noo', 'quantity': 2, 'accent': 1}, {'syllable': 'ri', 'quantity': 1, 'accent': 0}]]"
neidusida,"[[{'syllable': 'nei', 'quantity': 2, 'accent': 1}, {'syllable': 'du', 'quantity': 1, 'accent': 0}, {'syllable': 'si', 'quantity': 1, 'accent': 0}, {'syllable': 'da', 'quantity': 1, 'accent': 0}]]"
